scope,step,N
candidate566_2019_2023,X universe,566
candidate566_2019_2023,FInvention nonmissing,556
candidate566_2019_2023,BHAR nonmissing,566
candidate566_2019_2023,FSales_Growth nonmissing,563
candidate566_2019_2023,all 3 Y nonmissing,553
candidate566_2019_2023,ipo_pre + segment + RD staff controls complete,549
candidate566_2019_2023,all 3 Y + ipo_pre controls complete,539
candidate566_2019_2022,X universe,499
candidate566_2019_2022,FInvention nonmissing,489
candidate566_2019_2022,BHAR nonmissing,499
candidate566_2019_2022,FSales_Growth nonmissing,496
candidate566_2019_2022,all 3 Y nonmissing,486
candidate566_2019_2022,ipo_pre + segment + RD staff controls complete,484
candidate566_2019_2022,all 3 Y + ipo_pre controls complete,474
