custom_id,sec_code,sec_name,chunk_index,summary_token_proxy,relevant_score,summary_text,old_summary_token_proxy,old_relevant_score,old_summary_text,summary_token_proxy_delta,relevant_score_delta,source_shard
688358_1207116567_glm4_dewrap_join_chunk_0001,688358,祥生医疗,1,124,1.75,"祥生医疗是超声医学影像设备提供商，拥有完整自主知识产权，专注于超声医学影像设备的研发、制造和销售。公司产品包括推车式彩超、便携式彩超等，多次入选国家重点产品目录，产品远销100多个国家和地区。2018年全球超声医学影像设备市场份额4.47%，国内市场份额4.06%。公司主营业务收入逐年增长，2019年1-6月达15,993.86万元。公司采取经销为主、直销为辅的销售模式，与巴德、佳能等国际知名企业有ODM合作。公司掌握从二维到四维超声的全套核心技术，并承担国家科技支撑计划及重点研发计划项目。",135,2.1789473684210527,"祥生医疗长期专注超声医学影像设备研发、制造和销售，已掌握二维、三维、四维超声，探头核心部件、图像算法、整机设计、专科化应用、便携化设备和人工智能云平台等核心技术。全数字彩超为主要收入来源，2016年至2019年上半年主营业务收入分别为16,695.05万元、27,162.44万元、32,696.57万元和15,993.86万元，主机收入占比均超过91%，彩超占比最高达82.30%。公司产品销往100多个国家和地区，2018年全球市场份额4.47%、国内市场份额4.06%，超声设备出口排名国内品牌第三，并与巴德、佳能等采用ODM合作。",-11,-0.4289473684210527,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0002,688358,祥生医疗,2,102,0.8548387096774194,发行人现有销售的产品在我国属于第Ⅱ类医疗器械，在欧盟属于IIa类，在美国属于II类，在加拿大属于III类。发行人连续多年被认定为高新技术企业，享受国家税收优惠，旗下产品多次被列入国家重点产品清单。超声医学影像设备是医院、影像中心等医疗机构内常用的临床诊断仪器，具备安全、无创、应用广泛、实时、经济、便携等优点。近年来，全球超声医学影像设备市场保持稳定发展态势，中国已成为全球最大的超声医学影像设备消费市场。,100,1.2941176470588236,发行人现有销售产品在中国属于第Ⅱ类医疗器械，在欧盟属于IIa类、美国属于II类、加拿大属于III类，境内外销售需满足相应注册、备案或许可要求。公司连续多年被认定为高新技术企业，产品多次列入国家重点产品清单，并承担“十二五”“十三五”等超声领域科研项目，在核心部件国产化、人工智能辅助诊断、医疗云平台和超声远程诊断等方向积累技术。公司主营产品属于医用超声诊断、治疗仪器及设备等战略性新兴产业重点产品。,2,-0.4392789373814042,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0003,688358,祥生医疗,3,114,1.6935483870967742,公司承担国家科技支撑计划课题，攻克超声核心部件国产化难题，产品多次入围政府高新技术产品目录。公司自主研发低功耗便携式彩超和全功能平板彩超，便携式超声占总销量比例超70%。公司掌握乳腺三维超声容积成像系统核心技术并取得专利，形成乳腺专用三维超声仪。公司超声人工智能技术实现3项国际先进，取得3项软件著作权，启动FDA和注册工作。公司全球市场份额4.47%，国内市场份额4.06%，产品覆盖30多个省市自治区。公司拥有177项授权专利，包括42项中国发明专利。,140,2.3552631578947367,公司承担“十二五”专用超声诊断探头部件及系统研发课题和“十三五”乳腺三维超声容积成像系统及面阵探头研制项目，产品多次入围高新技术、重点产品和优秀产品名单。发行人便携式超声占总销量比例分别为79.27%、80.36%、78.56%、71.80%，低功耗便携式彩超、全功能平板彩超已用于SonoBook、SonoTouch、ECO、Site~Rite等产品。公司Site~Rite系列拓展PICC置管场景，并在乳腺三维超声容积成像系统掌握锥形廻转扫描技术并取得专利。公司超声人工智能实现3项国际先进，取得3项软件著作权，SonoAI已启动美国FDA和中国注册工作。,-26,-0.6617147707979625,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0004,688358,祥生医疗,4,144,2.066666666666667,祥生医疗是江苏省科技厅认定的高新技术企业，在无锡和美国设有研发中心，拥有多项资质评定。公司核心技术人员包括国家“千人计划”专家和“江苏省双创人才”。公司承担了多项国家级、省部级科研项目，如“十三五”国家重点研发计划等。公司具备较强的产品开发和生产工艺优势，产品获得FDA注册、CE认证。公司建立了覆盖全球100多个国家和地区的营销网络，并在国内外设有售后服务中心。公司董事长和总经理均享有国家级或省级荣誉称号。祥生医疗在超声医学影像设备领域与迈瑞医疗、开立医疗等国内企业及GE医疗、飞利浦等国际巨头竞争，在便携式、小型化超声设备研发方面具有优势，并承担了国家重点研发计划项目。,136,2.8142857142857145,发行人在无锡总部和美国华盛顿州设研发中心，截至报告期末研发人员205人，核心技术人员拥有国家“千人计划”专家、江苏省双创人才等称号。公司承担“十三五”国家重点研发计划、“十二五”国家科技支撑计划、国家火炬计划、江苏省科技成果转化专项资金项目等多项课题。公司产品获得FDA注册、CE认证，并建立覆盖100多个国家和地区及国内30多个省市自治区的营销网络。与可比公司相比，祥生医疗2018年收入3.27亿元、净利润0.95亿元，研发费用占营业收入12.65%，截至报告期末拥有177项专利、63项软件著作权，2018年超声设备出口排名国内品牌第三。,8,-0.7476190476190476,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0005,688358,祥生医疗,5,101,2.4693877551020407,发行人在高端彩超关键技术方面已达到与GE、飞利浦同台竞技水平，并在便携式、专科超声方面具有优势。公司主营业务收入主要来自超声医学影像设备，2018年达3.27亿元。公司采用以经销为主、直销为辅的销售模式，2018年经销收入占比69.07%。公司以出口销售为主，2018年外销占比75.12%，产品覆盖全球100多个国家及地区。公司2018年前五大客户销售收入占比32.63%，不存在对单一客户重大依赖。,154,3.126984126984127,"发行人在高端彩超多数关键技术方面实现突破，包括数字化波束合成、高帧频彩色血流成像等六项关键技术，并在高密度单晶材料探头、物理通道数等关键部件和指标上取得进展。公司2016年至2019年上半年主机产能分别为5,280台、7,200台、9,000台和4,500台，产能利用率为88.77%、93.03%、98.19%和95.73%。报告期主营业务收入主要来自超声医学影像设备，2018年主机收入31,685.03万元、占96.91%，彩超收入26,908.66万元、占82.30%。公司以经销和外销为主，2018年经销收入占69.07%、外销收入占75.12%，产品覆盖全球100多个国家和地区及国内30多个省市自治区。",-53,-0.6575963718820863,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0006,688358,祥生医疗,6,109,,报告期内，发行人前五大经销客户与发行人及其关联方均不存在关联关系或潜在关联关系。发行人原材料主要分为电子元器件、结构件、线缆、加工费及其他，其中电子元器件采购金额占比最高。发行人掌握了完整的超声主机、探头核心技术，可以以最基本的电子元器件、陶瓷片、化学原料等为原材料加工成完整的超声主机和探头。发行人探头为自主研发、自主生产，单个探头的平均材料成本在0.07~0.08万元，探头成本占全部营业成本的比例为12%~20%，占比相对较低。,181,3.1,报告期内，发行人经销客户较分散，海外前五大经销客户合计占经销收入约14.48%至18.40%，国内前五大经销客户合计占比约7.98%至10.09%，前五大经销客户与发行人及关联方不存在关联关系或潜在关联关系。海外直销客户集中度较高，2016年至2019年上半年海外前五大直销客户合计占直销收入60.19%、67.57%、69.19%、78.23%，其中佳能/东芝相关客户、Setia Manggla Abadi、Bard Access Systems为主要客户。采购端，电子元器件为最大原材料，2016年至2019年上半年采购占比约59%至61%；发行人掌握完整超声主机、探头核心技术，可由基础电子元器件、陶瓷片等加工完整主机和探头，探头自主研发生产，单个探头平均材料成本0.07至0.08万元，探头成本占营业成本12%至20%。,-72,,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0007,688358,祥生医疗,7,111,1.5416666666666667,报告期内，公司探头原材料采购与生产入库量存在勾稽关系。同轴电缆、插头采购量与探头生产入库量基本接近1:1，而陶瓷片采购量与探头生产入库量平均比例为1.71，主要因陶瓷片存在正常损耗和报废。公司探头良率由2016年的58.10%提升至2019年1-6月的79.50%，单个探头所需陶瓷片逐年下降。陶瓷片研发领用和工程试制消耗较多，但单位价格较低，对成本影响微小。公司通过工艺改进、设备升级等措施提升探头良率，解决彩超探头需求大增与良率低的矛盾。,149,3.2452830188679247,"发行人探头原材料中，同轴电缆、插头与探头生产入库量整体接近1:1，报告期累计生产入库探头55,998把，同轴电缆采购53,143根、插头采购57,047个；陶瓷片采购95,709片，与入库量平均比例1.71，主要因切割、溅射等工序损耗报废及研发、试制领用。探头技术难点和工艺核心在由陶瓷片经十几道工序加工形成的换能器，性能与良率受几十项物理、电学参数和多道工序累积影响，需大量开发设计、工程试制和工艺验证。报告期探头良率由2016年的58.10%升至2019年上半年的79.50%，单个探头生产领用陶瓷片由1.72片降至1.26片；陶瓷片平均采购价60.76元/片，相关成本占营业成本2%以内。",-38,-1.703616352201258,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0008,688358,祥生医疗,8,121,1.5208333333333333,彩超探头陶瓷片比黑白超更薄窄，加工难度高，良率低于黑白超。公司通过工艺改进、材料改进、设备改进、人员管理和设计优化等措施提升彩超探头良率。公司主要原材料采购与生产领用金额占营业成本比例在4%~9%之间，相对平稳。彩超探头销量与主机销量的匹配关系基本在2.3~3.3之间，具有合理性。公司主要原材料采购价格呈下降趋势，原材料采购价格变动对公司毛利率影响较小。公司外协加工费用占采购总额比例较低，外协加工所形成的成本占营业成本比重稳定。公司进口采购的原材料主要包括电子元器件和其他物料。,162,3.020408163265306,彩超探头陶瓷片晶元较黑白超缩减30%至50%，厚度仅0.1至0.2mm、宽度0.06至0.07mm，每片需切割数百个晶元并经十余道工序制成换能器，单个晶元损坏或不一致即会导致报废，且彩超高频探头对频率一致性、带宽一致性、灵敏度等要求更严。发行人通过近200套探头专用工装夹具、声学和工艺新材料、高精密设备、微米级检测、人员培训及先进设计工具提升良率。探头主要原材料采购金额占营业成本4%至9%，生产领用金额占6%至8%，占比较低且相对平稳；彩超主机单台标配1至2把探头、选配0至5把，彩超探头销量与主机销量配比约2.35至3.21。主要原材料价格整体下降，电子元器件单价逐年下降，原材料单价变动±1%、±3%对毛利率影响约0.32%至1.04%。,-41,-1.4995748299319729,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0009,688358,祥生医疗,9,170,1.6774193548387095,公司从事超声医学影像设备的研发、生产和制造，上游零配件涉及电子元器件、结构件、线缆等大类，近6500种规格，供应商达400多家，采购较为分散。报告期内，前五大供应商采购占比分别为35.85%、31.33%、32.26%和33.62%，剔除第一大供应商英捷迅后，采购更为分散。公司对PCBA板、线缆和悬臂等采用外协加工，前五大外协厂商采购额占外协总采购额的比例逐年下降，从2016年的96.38%降至2019年1-6月的77.22%，不存在外协供应商依赖。主要外协供应商对发行人的销售价格与其对第三方的销售价格基本一致，价格公允。主要供应商包括深圳市英捷迅实业发展有限公司、深圳市嘉利达专显科技有限公司、莘谷电子（上海）有限公司等，合作年限较长，采购内容与主要供应商的主营业务相符。,166,2.9767441860465116,发行人水电消耗金额占主营业务成本较低，2017年用水量异常系水箱老旧漏水所致。报告期前五大供应商采购占比约31.33%至35.85%，第一大供应商英捷迅占比18.14%至21.15%，主要提供进口电子元器件代理进口服务；剔除英捷迅后采购较分散，原材料约6500种规格、供应商400多家。2018年英捷迅代理报关前五大供应商合计占发行人采购总额15.25%，展开后前五大供应商集中度与同行业不存在明显差异。主要供应商合作年限较长，采购内容与主营业务相符，发行人及关联方与主要供应商不存在关联关系。外协加工涉及PCBA板、线缆、悬臂等非核心工序，前五大外协厂商采购额占外协采购总额由2016年96.38%降至2019年上半年77.22%，不存在单一外协供应商重大依赖。,4,-1.299324831207802,siliconflow_glm4_32b_table2_next100_shard1_20260708
688358_1207116567_glm4_dewrap_join_chunk_0010,688358,祥生医疗,10,92,,"祥生医疗拥有自有房产和租赁房屋，固定资产包括房屋及建筑物、机器设备、运输工具和其他设备，账面原值合计5,886.54万元。主要机器设备包括模具、超声诊断仪、划片机等，账面原值合计2,782.54万元。祥生医疗拥有三宗土地使用权，总面积约76,081.80平方米，使用年限至2053年至2067年不等。公司共拥有注册商标60项，其中境内34项，境外26项，均为原始取得。",143,2.8205128205128207,"报告期内，发行人向主要供应商采购的集成电路、液晶屏、结构件、探头转接板、线缆等平均价格相对稳定，且均处于供应商向第三方销售价格区间，采购价格公允。报告期末，祥生医疗固定资产账面原值5,886.54万元、账面净值2,048.32万元，其中机器设备净值1,034.07万元；主要机器设备包括295套模具、15台超声诊断仪、划片机、切割机、等离子清洗机、声学性能测试设备、磁控溅射镀膜设备等。截至招股说明书签署日，公司拥有两处自有房产、三宗土地，部分老地块已签署收储合同并以长江南路以东、周泾浜以北43,982.40平方米新土地置换；发行人境内外注册商标共60项，均为原始取得。",-51,,siliconflow_glm4_32b_table2_next100_shard1_20260708
