code,sec_name_csmar,company_name_csmar,list_date_csmar,list_year_csmar,prospectus_publish_date_csmar,prospectus_sign_date_csmar,issue_price,gross_proceeds,issue_fee,sponsor,Listexg,Nindcd,Nindnme,IndustryCodeC,IndustryNameC,sec_name,first_trade_date,listing_year,Redundancy,BHAR,FSales_Growth,FInvention,_merge,in_csmar_star_ipo_2019_2023,in_current_x_master,valid_overlap,list_year_compare
688098,申联生物,申联生物医药(上海)股份有限公司,2019-10-28,2019.0,2019-10-22,2019-10-22,8.8,44000.0,3757.08,国信证券股份有限公司,1,C27,医药制造业,None,None,申联生物,2019-10-28,2019.0,28.552972972972977,-0.5344719017196377,0.3306539989862162,1.3862943611198906,both,True,True,True,2019.0
688108,赛诺医疗,赛诺医疗科学技术股份有限公司,2019-10-30,2019.0,2019-10-24,2019-10-23,6.99,34950.0,4259.81,中信证券股份有限公司,1,C35,专用设备制造业,None,None,赛诺医疗,2019-10-30,2019.0,30.332458770614693,-0.4359376188346577,-0.248887640109464,2.0794415416798357,both,True,True,True,2019.0
688366,昊海生科,上海昊海生物科技股份有限公司,2019-10-30,2019.0,2019-10-25,2019-10-25,89.23,158829.4,5902.52,瑞银证券有限责任公司,1,C27,医药制造业,None,None,昊海生科,2019-10-30,2019.0,29.136901559978483,-0.2478625556022008,-0.1694827001167843,2.3978952727983707,both,True,True,True,2019.0
688025,杰普特,深圳市杰普特光电股份有限公司,2019-10-31,2019.0,2019-10-28,2019-10-28,43.86,101282.14,9778.58,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,杰普特,2019-10-31,2019.0,28.478698683191325,-0.3725316180568043,0.5037121974921628,2.0794415416798357,both,True,True,True,2019.0
688369,致远互联,北京致远互联软件股份有限公司,2019-10-31,2019.0,2019-10-25,2019-10-25,49.39,95075.75,11011.15,中德证券有限责任公司,1,I65,软件和信息技术服务业,None,None,致远互联,2019-10-31,2019.0,28.85661178969729,-0.304935814148547,0.0906717171846829,0.6931471805599453,both,True,True,True,2019.0
688058,宝兰德,北京宝兰德软件股份有限公司,2019-11-01,2019.0,2019-10-29,2019-10-29,79.3,79300.0,8296.96,东兴证券股份有限公司,1,I65,软件和信息技术服务业,None,None,宝兰德,2019-11-01,2019.0,27.56851119894598,-0.1773744030660071,0.2718579433669868,1.3862943611198906,both,True,True,True,2019.0
688023,安恒信息,杭州安恒信息技术股份有限公司,2019-11-05,2019.0,2019-10-31,2019-10-31,56.5,104629.63,9472.44,国泰君安证券股份有限公司,1,I65,软件和信息技术服务业,None,None,安恒信息,2019-11-05,2019.0,27.91281861839675,1.9052241373521832,0.4014053088532215,4.6913478822291435,both,True,True,True,2019.0
688128,中国电器,中国电器科学研究院股份有限公司,2019-11-05,2019.0,2019-10-31,2019-10-31,18.79,93950.0,8149.87,中信建投证券股份有限公司,1,M74,专业技术服务业,None,None,中国电器,2019-11-05,2019.0,30.58054639660857,-0.54203730240313,-0.0845628036400658,3.1354942159291497,both,True,True,True,2019.0
688199,久日新材,天津久日新材料股份有限公司,2019-11-05,2019.0,2019-10-30,2019-10-30,66.68,185415.74,14486.45,招商证券股份有限公司,1,C26,化学原料及化学制品制造业,None,None,久日新材,2019-11-05,2019.0,28.17596702599873,-0.5869988645493464,-0.242307534412517,2.4849066497880004,both,True,True,True,2019.0
688202,美迪西,上海美迪西生物医药股份有限公司,2019-11-05,2019.0,2019-10-31,2019-10-31,41.5,64325.0,6449.88,广发证券股份有限公司,1,M73,研究和试验发展,None,None,美迪西,2019-11-05,2019.0,28.011776251226692,0.7390819881006967,0.4819015646063856,1.3862943611198906,both,True,True,True,2019.0
688389,普门科技,深圳普门科技股份有限公司,2019-11-05,2019.0,2019-10-31,2019-10-31,9.1,39130.0,5058.56,国信证券股份有限公司,1,C35,专用设备制造业,None,None,普门科技,2019-11-05,2019.0,30.496402877697843,-0.186773972848788,0.3103763091259278,0.6931471805599453,both,True,True,True,2019.0
688021,奥福环保,山东奥福环保科技股份有限公司,2019-11-06,2019.0,2019-10-31,2019-10-31,26.17,52340.0,6627.92,安信证券股份有限公司,1,C35,专用设备制造业,None,None,奥福环保,2019-11-06,2019.0,31.6239863422962,0.4950123416085481,0.1718462208652068,1.3862943611198906,both,True,True,True,2019.0
688288,鸿泉物联,杭州鸿泉物联网技术股份有限公司,2019-11-06,2019.0,2019-10-31,2019-10-31,24.99,62475.0,7180.91,东方花旗证券有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,鸿泉物联,2019-11-06,2019.0,29.416472416472416,0.1987449548146549,0.4564435490341317,2.6390573296152584,both,True,True,True,2019.0
688299,长阳科技,宁波长阳科技股份有限公司,2019-11-06,2019.0,2019-10-30,2019-10-30,13.71,96850.4562,11178.6359,华安证券股份有限公司,1,C29,橡胶和塑料制品业,None,None,长阳科技,2019-11-06,2019.0,27.29662379421222,0.0603916700541962,0.1480712468317178,2.1972245773362196,both,True,True,True,2019.0
688363,华熙生物,华熙生物科技股份有限公司,2019-11-06,2019.0,2019-10-30,2019-10-30,47.79,236859.46,11964.01,华泰联合证券有限责任公司,1,C27,医药制造业,None,None,华熙生物,2019-11-06,2019.0,27.53820895522388,0.6218835644124716,0.3962530950599838,2.3978952727983707,both,True,True,True,2019.0
688166,博瑞医药,博瑞生物医药(苏州)股份有限公司,2019-11-08,2019.0,2019-10-31,2019-10-31,12.71,52111.0,8112.54,民生证券股份有限公司,1,C27,医药制造业,None,None,博瑞医药,2019-11-08,2019.0,30.73200911755129,0.4244718298602208,0.5609109360638851,,both,True,True,True,2019.0
688101,三达膜,三达膜环境技术股份有限公司,2019-11-15,2019.0,2019-11-12,2019-11-12,18.26,152416.22,7391.56,长江证券承销保荐有限公司,1,C35,专用设备制造业,None,None,三达膜,2019-11-15,2019.0,29.90452876376989,-0.5055510142349601,0.1811816557706367,1.0986122886681098,both,True,True,True,2019.0
688300,联瑞新材,江苏联瑞新材料股份有限公司,2019-11-15,2019.0,2019-11-11,2019-11-11,27.28,58633.9952,6847.9216,东莞证券股份有限公司,1,C30,非金属矿物制品业,None,None,联瑞新材,2019-11-15,2019.0,29.802539258269295,-0.136308142476798,0.2819600618117444,0.6931471805599453,both,True,True,True,2019.0
688111,金山办公,北京金山办公软件股份有限公司,2019-11-18,2019.0,2019-11-13,2019-11-13,45.86,463186.0,17245.73,中国国际金融股份有限公司,1,I65,软件和信息技术服务业,None,None,金山办公,2019-11-18,2019.0,32.51791158536585,1.2781136401455002,0.4314269649018023,2.8903717578961645,both,True,True,True,2019.0
688138,清溢光电,深圳清溢光电股份有限公司,2019-11-20,2019.0,2019-11-15,2019-11-15,8.78,58650.4,6416.68,广发证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,清溢光电,2019-11-20,2019.0,28.194366197183097,0.0382420150852427,0.0157232104988585,1.0986122886681098,both,True,True,True,2019.0
688196,卓越新能,龙岩卓越新能源股份有限公司,2019-11-21,2019.0,2019-11-15,2019-11-15,42.93,128790.0,8700.38,英大证券有限责任公司,1,C42,废弃资源综合利用业,None,None,卓越新能,2019-11-21,2019.0,26.90993265993266,-0.2234614131944967,0.2347341202602495,0.0,both,True,True,True,2019.0
688310,迈得医疗,迈得医疗工业设备股份有限公司,2019-12-03,2019.0,2019-11-26,2019-11-26,24.79,51811.1,6075.96,广发证券股份有限公司,1,C35,专用设备制造业,None,None,迈得医疗,2019-12-03,2019.0,28.708623087621696,-0.3522277685729463,0.2558769484581198,0.0,both,True,True,True,2019.0
688358,祥生医疗,无锡祥生医疗科技股份有限公司,2019-12-03,2019.0,2019-11-27,2019-11-27,50.53,101060.0,9110.5642,国金证券股份有限公司,1,C35,专用设备制造业,None,None,祥生医疗,2019-12-03,2019.0,28.262603116406964,-0.233731407306063,-0.0991544367512807,2.8903717578961645,both,True,True,True,2019.0
688118,普元信息,普元信息技术股份有限公司,2019-12-04,2019.0,2019-11-28,2019-11-28,26.9,64156.5,5701.45,民生证券股份有限公司,1,I65,软件和信息技术服务业,None,None,普元信息,2019-12-04,2019.0,30.45,-0.6750632412053871,-0.0890463581102455,,both,True,True,True,2019.0
688357,建龙微纳,洛阳建龙微纳新材料股份有限公司,2019-12-04,2019.0,2019-11-28,2019-11-28,43.28,62582.88,5591.08,中天国富证券有限公司,1,C26,化学原料及化学制品制造业,None,None,建龙微纳,2019-12-04,2019.0,26.229573535273015,0.2337332699945467,0.1122687935804807,2.1972245773362196,both,True,True,True,2019.0
688399,硕世生物,江苏硕世生物科技股份有限公司,2019-12-05,2019.0,2019-11-29,2019-11-29,46.78,68579.48,7286.12,招商证券股份有限公司,1,C27,医药制造业,None,None,硕世生物,2019-12-05,2019.0,31.300998573466476,1.918154954299888,5.023935488263187,1.3862943611198906,both,True,True,True,2019.0
688198,佰仁医疗,北京佰仁医疗科技股份有限公司,2019-12-09,2019.0,2019-12-03,2019-12-03,23.68,56832.0,6234.96,国信证券股份有限公司,1,C35,专用设备制造业,None,None,佰仁医疗,2019-12-09,2019.0,30.67905536198219,1.2640000765845925,0.2457289374256749,0.0,both,True,True,True,2019.0
688258,卓易信息,江苏卓易信息科技股份有限公司,2019-12-09,2019.0,2019-12-02,2019-12-02,26.49,57587.1408,6303.11,中信建投证券股份有限公司,1,I65,软件和信息技术服务业,None,None,卓易信息,2019-12-09,2019.0,28.134401972872997,-0.1690613438672819,-0.0677397469828682,2.1972245773362196,both,True,True,True,2019.0
688039,当虹科技,杭州当虹科技股份有限公司,2019-12-11,2019.0,2019-12-06,2019-12-06,50.48,100960.0,8000.02,中信证券股份有限公司,1,I65,软件和信息技术服务业,None,None,当虹科技,2019-12-11,2019.0,28.173153692614772,-0.3350888699268625,0.2860038427698199,2.9444389791664403,both,True,True,True,2019.0
688218,江苏北人,江苏北人机器人系统股份有限公司,2019-12-11,2019.0,2019-12-03,2019-12-03,17.36,50934.24,7609.79,东吴证券股份有限公司,1,C35,专用设备制造业,None,None,江苏北人,2019-12-11,2019.0,26.44417670682731,-0.5831676390912188,-0.000546526578587,0.6931471805599453,both,True,True,True,2019.0
688037,芯源微,沈阳芯源微电子设备股份有限公司,2019-12-16,2019.0,2019-12-10,2019-12-10,26.97,56637.0,6062.59,国信证券股份有限公司,1,C35,专用设备制造业,None,None,芯源微,2019-12-16,2019.0,26.009825327510917,0.2532421058012442,0.5429976020344213,2.5649493574615367,both,True,True,True,2019.0
688089,嘉必优,嘉必优生物技术(武汉)股份有限公司,2019-12-19,2019.0,2019-12-16,2019-12-16,23.9,71700.0,6867.39,国泰君安证券股份有限公司,1,C14,食品制造业,None,None,嘉必优,2019-12-19,2019.0,30.009633911368017,-0.2461116692379746,0.0382376517788086,3.1354942159291497,both,True,True,True,2019.0
688123,聚辰股份,聚辰半导体股份有限公司,2019-12-23,2019.0,2019-12-18,2019-12-18,33.25,100449.8,8931.04,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,聚辰股份,2019-12-23,2019.0,28.539458186101296,-0.4083898778407697,-0.0380227865158183,2.302585092994046,both,True,True,True,2019.0
688268,华特气体,广东华特气体股份有限公司,2019-12-26,2019.0,2019-12-23,2019-12-23,22.16,66480.0,8173.89,中信建投证券股份有限公司,1,C26,化学原料及化学制品制造业,None,None,华特气体,2019-12-26,2019.0,27.563636363636363,0.0908932148432775,0.1843604143975044,1.0986122886681098,both,True,True,True,2019.0
688078,龙软科技,北京龙软科技股份有限公司,2019-12-30,2019.0,2019-12-24,2019-12-24,21.59,38192.71,5829.61,方正证券承销保荐有限责任公司,1,I65,软件和信息技术服务业,None,None,龙软科技,2019-12-30,2019.0,24.90582695703355,-0.5381431995557974,0.2805609099860635,1.791759469228055,both,True,True,True,2019.0
688081,兴图新科,武汉兴图新科电子股份有限公司,2020-01-06,2020.0,2019-12-30,2019-12-30,28.21,51906.4,5283.64,中泰证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,兴图新科,2020-01-06,2020.0,30.968108344255132,-0.4889232355794053,-0.1869754174570257,2.1972245773362196,both,True,True,True,2020.0
688181,八亿时空,北京八亿时空液晶科技股份有限公司,2020-01-06,2020.0,2019-12-31,2019-12-31,43.98,106072.0811,8280.9737,首创证券有限责任公司,1,C39,计算机、通信和其他电子设备制造业,None,None,八亿时空,2020-01-06,2020.0,27.44216816047802,-0.1452391274930806,0.367050970673723,3.80666248977032,both,True,True,True,2020.0
688178,万德斯,南京万德斯环保科技股份有限公司,2020-01-14,2020.0,2020-01-08,2020-01-08,25.2,53548.6417,5409.6335,广发证券股份有限公司,1,N77,生态保护和环境治理业,None,None,万德斯,2020-01-14,2020.0,31.104777415852336,-0.397461783283514,0.3132721532239281,1.3862943611198906,both,True,True,True,2020.0
688278,特宝生物,厦门特宝生物工程股份有限公司,2020-01-17,2020.0,2020-01-13,2020-01-13,8.24,38316.0,5271.368,国金证券股份有限公司,1,C27,医药制造业,None,None,特宝生物,2020-01-17,2020.0,28.008439731659813,0.0538287354280087,0.4260974788425809,,both,True,True,True,2020.0
688158,优刻得,优刻得科技股份有限公司,2020-01-20,2020.0,2020-01-14,2020-01-14,33.23,194395.5,10403.0,中国国际金融股份有限公司,1,I64,互联网和相关服务,None,None,优刻得,2020-01-20,2020.0,27.511073825503356,-0.2846102696344581,0.1817061585834117,2.70805020110221,both,True,True,True,2020.0
688100,威胜信息,威胜信息技术股份有限公司,2020-01-21,2020.0,2020-01-13,2020-01-13,13.78,68900.0,7816.61,中国国际金融股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,威胜信息,2020-01-21,2020.0,26.657742622452083,-0.3315885301020762,0.2602761367070571,2.6390573296152584,both,True,True,True,2020.0
688026,洁特生物,广州洁特生物过滤股份有限公司,2020-01-22,2020.0,2020-01-17,2020-01-17,16.49,41225.0,3284.2377,民生证券股份有限公司,1,C29,橡胶和塑料制品业,None,None,洁特生物,2020-01-22,2020.0,26.554326241134753,0.5071864541898802,0.6979574189495765,1.6094379124341005,both,True,True,True,2020.0
688159,有方科技,深圳市有方科技股份有限公司,2020-01-23,2020.0,2020-01-20,2020-01-20,20.35,46642.2,5375.91,华创证券有限责任公司,1,C39,计算机、通信和其他电子设备制造业,None,None,有方科技,2020-01-23,2020.0,27.42314702308627,-0.4343738975569227,0.7861400560666829,2.0794415416798357,both,True,True,True,2020.0
688266,泽璟制药,苏州泽璟生物制药股份有限公司,2020-01-23,2020.0,2020-01-20,2020-01-20,33.76,202560.0,11737.92,中国国际金融股份有限公司,1,C27,医药制造业,None,None,泽璟制药,2020-01-23,2020.0,30.38754219085609,0.0443811108620999,5.881934482898578,2.1972245773362196,both,True,True,True,2020.0
688298,东方生物,浙江东方基因生物制品股份有限公司,2020-02-05,2020.0,2020-01-22,2020-01-22,21.25,63750.0,8668.22,光大证券股份有限公司,1,C27,医药制造业,None,None,东方生物,2020-02-05,2020.0,30.77150818530129,0.1354373331197843,2.1142603876268593,1.0986122886681098,both,True,True,True,2020.0
688186,广大特材,张家港广大特材股份有限公司,2020-02-11,2020.0,2020-02-04,2020-02-04,17.16,71728.8,7775.04,中信建投证券股份有限公司,1,C33,金属制品业,None,None,广大特材,2020-02-11,2020.0,28.554305799648507,-0.2416442552955369,0.5120273942889939,2.1972245773362196,both,True,True,True,2020.0
688398,赛特新材,福建赛特新材股份有限公司,2020-02-11,2020.0,2020-02-05,2020-02-05,24.12,48240.0,5929.85,兴业证券股份有限公司,1,C30,非金属矿物制品业,None,None,赛特新材,2020-02-11,2020.0,31.585497835497836,-0.3015516757084329,0.3779463743091826,0.0,both,True,True,True,2020.0
688080,映翰通,北京映翰通网络技术股份有限公司,2020-02-12,2020.0,2020-02-05,2020-02-05,27.63,36215.1853,4843.13,光大证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,映翰通,2020-02-12,2020.0,27.74012676743052,-0.4588335845167042,0.4463315429739735,0.6931471805599453,both,True,True,True,2020.0
688208,道通科技,深圳市道通科技股份有限公司,2020-02-13,2020.0,2020-02-10,2020-02-10,24.36,121800.0,11875.06,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,None,None,道通科技,2020-02-13,2020.0,30.67616279069767,0.3060975252867751,0.4284119029506763,3.7612001156935624,both,True,True,True,2020.0
688090,瑞松科技,广州瑞松智能科技股份有限公司,2020-02-17,2020.0,2020-02-11,2020-02-11,27.55,46394.6,5807.18,广发证券股份有限公司,1,C35,专用设备制造业,None,None,瑞松科技,2020-02-17,2020.0,28.876839411388357,-0.3890921543887328,0.1654997044548003,1.791759469228055,both,True,True,True,2020.0
688200,华峰测控,北京华峰测控技术股份有限公司,2020-02-18,2020.0,2020-02-13,2020-02-13,107.41,164297.53,13071.67,中国国际金融股份有限公司,1,C35,专用设备制造业,None,None,华峰测控,2020-02-18,2020.0,27.70434265318263,0.5237538112788291,1.2095692348247735,1.3862943611198906,both,True,True,True,2020.0
688169,石头科技,北京石头世纪科技股份有限公司,2020-02-21,2020.0,2020-02-17,2020-02-17,271.12,451866.68,15054.0,中信证券股份有限公司,1,C38,电气机械及器材制造业,None,None,石头科技,2020-02-21,2020.0,30.02008032128514,1.299790648058494,0.2884075221274552,2.4849066497880004,both,True,True,True,2020.0
688177,百奥泰,百奥泰生物制药股份有限公司,2020-02-21,2020.0,2020-02-17,2020-02-17,32.76,196560.0,8940.02,中国国际金融股份有限公司,1,C27,医药制造业,None,None,百奥泰,2020-02-21,2020.0,30.280277961614825,-0.357078187181272,3.5222934322663244,1.791759469228055,both,True,True,True,2020.0
688233,神工股份,锦州神工半导体股份有限公司,2020-02-21,2020.0,2020-02-17,2020-02-17,21.67,86680.0,9193.06,国泰君安证券股份有限公司,1,C30,非金属矿物制品业,None,None,神工股份,2020-02-21,2020.0,26.09629044988161,-0.302858890556581,1.466925256503535,0.6931471805599453,both,True,True,True,2020.0
