label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model
688076_chunks_0001_0001,4888,224,5112,stop,THUDM/GLM-4-32B-0414
688076_chunks_0002_0002,5052,227,5279,stop,THUDM/GLM-4-32B-0414
688076_chunks_0003_0003,5063,238,5301,stop,THUDM/GLM-4-32B-0414
688076_chunks_0004_0004,4990,232,5222,stop,THUDM/GLM-4-32B-0414
688076_chunks_0005_0005,5056,164,5220,stop,THUDM/GLM-4-32B-0414
688076_chunks_0006_0006,5046,216,5262,stop,THUDM/GLM-4-32B-0414
688076_chunks_0007_0007,5012,215,5227,stop,THUDM/GLM-4-32B-0414
688076_chunks_0008_0008,5035,224,5259,stop,THUDM/GLM-4-32B-0414
688076_chunks_0009_0009,4998,193,5191,stop,THUDM/GLM-4-32B-0414
688076_chunks_0010_0010,5048,282,5330,stop,THUDM/GLM-4-32B-0414
688076_chunks_0011_0011,4981,224,5205,stop,THUDM/GLM-4-32B-0414
688076_chunks_0012_0012,5063,210,5273,stop,THUDM/GLM-4-32B-0414
688076_chunks_0013_0013,5054,235,5289,stop,THUDM/GLM-4-32B-0414
688076_chunks_0014_0014,5053,230,5283,stop,THUDM/GLM-4-32B-0414
688076_chunks_0015_0015,4982,277,5259,stop,THUDM/GLM-4-32B-0414
688076_chunks_0016_0016,5059,206,5265,stop,THUDM/GLM-4-32B-0414
688076_chunks_0017_0017,4983,246,5229,stop,THUDM/GLM-4-32B-0414
688076_chunks_0018_0018,4951,208,5159,stop,THUDM/GLM-4-32B-0414
688076_chunks_0019_0019,5010,200,5210,stop,THUDM/GLM-4-32B-0414
688076_chunks_0020_0020,4939,238,5177,stop,THUDM/GLM-4-32B-0414
688076_chunks_0021_0021,5030,203,5233,stop,THUDM/GLM-4-32B-0414
688076_chunks_0022_0022,5062,342,5404,stop,THUDM/GLM-4-32B-0414
688076_chunks_0023_0023,4862,196,5058,stop,THUDM/GLM-4-32B-0414
688076_chunks_0024_0024,5031,248,5279,stop,THUDM/GLM-4-32B-0414
688076_chunks_0025_0025,5049,234,5283,stop,THUDM/GLM-4-32B-0414
688076_chunks_0026_0026,5011,243,5254,stop,THUDM/GLM-4-32B-0414
688076_chunks_0027_0027,1226,150,1376,stop,THUDM/GLM-4-32B-0414
688097_chunks_0001_0001,5045,206,5251,stop,THUDM/GLM-4-32B-0414
688097_chunks_0002_0002,5015,176,5191,stop,THUDM/GLM-4-32B-0414
688097_chunks_0003_0003,5032,246,5278,stop,THUDM/GLM-4-32B-0414
688097_chunks_0004_0004,5051,226,5277,stop,THUDM/GLM-4-32B-0414
688097_chunks_0005_0005,5055,199,5254,stop,THUDM/GLM-4-32B-0414
688097_chunks_0006_0006,5030,297,5327,stop,THUDM/GLM-4-32B-0414
688097_chunks_0007_0007,5007,203,5210,stop,THUDM/GLM-4-32B-0414
688097_chunks_0008_0008,5004,187,5191,stop,THUDM/GLM-4-32B-0414
688097_chunks_0009_0009,5058,306,5364,stop,THUDM/GLM-4-32B-0414
688097_chunks_0010_0010,5044,236,5280,stop,THUDM/GLM-4-32B-0414
688097_chunks_0011_0011,4962,272,5234,stop,THUDM/GLM-4-32B-0414
688097_chunks_0012_0012,4993,250,5243,stop,THUDM/GLM-4-32B-0414
688097_chunks_0013_0013,5046,212,5258,stop,THUDM/GLM-4-32B-0414
688097_chunks_0014_0014,5029,214,5243,stop,THUDM/GLM-4-32B-0414
688097_chunks_0015_0015,4983,234,5217,stop,THUDM/GLM-4-32B-0414
688097_chunks_0016_0016,5019,201,5220,stop,THUDM/GLM-4-32B-0414
688097_chunks_0017_0017,5052,191,5243,stop,THUDM/GLM-4-32B-0414
