sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,pdf_url,download_status,pdf_file,txt_file,section_status,section_file,section_start_char,section_end_char,full_text_chars,tech_text_chars,tech_text_compact_chars,chunk_count,source_run_name,section_extraction_method,ocr_pdf_start_page,ocr_pdf_end_page,ocr_dpi,source_chunk_count,token_mode,max_units,tech_text_token_proxy,chunk_count_token_proxy,source_section_file,normalization_mode,tokenizer,max_tokens,tech_text_glm4_tokens,lnN_tech_glm4,year,source_dir
688360,德马科技,1207863559,首次公开发行股票并在科创板上市招股说明书,2020-05-27,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-05-27/1207863559.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-05-27_688360_德马科技_1207863559_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-05-27_688360_德马科技_1207863559_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688360_1207863559_business_technology.txt,108079.0,264017.0,809433,141860,132334,22,star_token_proxy_150_20260630,pdftotext_regex,,,,18.0,glm4_dewrap_join,4000.0,85048,18.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688360_1207863559_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,85048,11.35097108196844,2020.0,glm4_dewrap_join_full543_20260705
688312,燕麦科技,1207885323,深圳市燕麦科技股份有限公司首次公开发行股票并在科创板上市招股说明书,2020-06-02,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-02/1207885323.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-02_688312_燕麦科技_1207885323_深圳市燕麦科技股份有限公司首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-02_688312_燕麦科技_1207885323_深圳市燕麦科技股份有限公司首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688312_1207885323_business_technology.txt,74931.0,157651.0,526799,75041,68206,12,star_token_proxy_150_20260630,pdftotext_regex,,,,10.0,glm4_dewrap_join,4000.0,45004,10.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688312_1207885323_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,45004,10.714506653690965,2020.0,glm4_dewrap_join_full543_20260705
688599,天合光能,1207894620,首次公开发行股票并在科创板上市招股说明书,2020-06-04,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-04/1207894620.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-04_688599_天合光能_1207894620_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-04_688599_天合光能_1207894620_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688599_1207894620_business_technology.txt,184644.0,385424.0,1812028,183290,167335,28,star_token_proxy_150_20260630,pdftotext_regex,,,,22.0,glm4_dewrap_join,4000.0,107861,22.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688599_1207894620_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,107861,11.588598640125822,2020.0,glm4_dewrap_join_full543_20260705
688004,博汇科技,1207907543,首次公开发行股票并在科创板上市招股说明书,2020-06-09,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-09/1207907543.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-09_688004_博汇科技_1207907543_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-09_688004_博汇科技_1207907543_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688004_1207907543_business_technology.txt,70717.0,203009.0,632969,118786,111540,18,star_token_proxy_150_20260630,pdftotext_regex,,,,15.0,glm4_dewrap_join,4000.0,68724,15.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688004_1207907543_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,68724,11.137853762181855,2020.0,glm4_dewrap_join_full543_20260705
688106,金宏气体,1207916424,首次公开发行股票并在科创板上市招股说明书,2020-06-11,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-11/1207916424.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-11_688106_金宏气体_1207916424_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-11_688106_金宏气体_1207916424_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688106_1207916424_business_technology.txt,119692.0,242549.0,787574,110839,104371,18,star_token_proxy_150_20260630,pdftotext_regex,,,,15.0,glm4_dewrap_join,4000.0,68121,15.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688106_1207916424_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,68121,11.129040814645387,2020.0,glm4_dewrap_join_full543_20260705
688505,复旦张江,1207919883,首次公开发行股票并在科创板上市招股说明书,2020-06-12,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-12/1207919883.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-12_688505_复旦张江_1207919883_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-12_688505_复旦张江_1207919883_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688505_1207919883_business_technology.txt,84988.0,214811.0,704331,118077,108679,18,star_token_proxy_150_20260630,pdftotext_regex,,,,15.0,glm4_dewrap_join,4000.0,69888,15.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688505_1207919883_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,69888,11.154649239664522,2020.0,glm4_dewrap_join_full543_20260705
688518,联赢激光,1207927479,首次公开发行股票并在科创板上市招股说明书,2020-06-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-16/1207927479.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-16_688518_联赢激光_1207927479_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-16_688518_联赢激光_1207927479_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688518_1207927479_business_technology.txt,132932.0,307497.0,1057658,158189,144805,25,star_token_proxy_150_20260630,pdftotext_regex,,,,20.0,glm4_dewrap_join,4000.0,96818,20.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688518_1207927479_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,96818,11.480588206391255,2020.0,glm4_dewrap_join_full543_20260705
688555,泽达易盛,1207927828,首次公开发行股票并在科创板上市招股说明书,2020-06-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-16/1207927828.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-16_688555_泽达易盛_1207927828_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-16_688555_泽达易盛_1207927828_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688555_1207927828_business_technology.txt,110794.0,257647.0,842053,132596,123887,20,star_token_proxy_150_20260630,pdftotext_regex,,,,17.0,glm4_dewrap_join,4000.0,75619,17.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688555_1207927828_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,75619,11.233462853342674,2020.0,glm4_dewrap_join_full543_20260705
688558,国盛智科,1207950784,首次公开发行股票并在科创板上市招股说明书,2020-06-23,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-23/1207950784.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-23_688558_国盛智科_1207950784_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-23_688558_国盛智科_1207950784_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688558_1207950784_business_technology.txt,76349.0,224831.0,743526,133968,124393,22,star_token_proxy_150_20260630,pdftotext_regex,,,,17.0,glm4_dewrap_join,4000.0,82673,17.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688558_1207950784_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,82673,11.322648346447616,2020.0,glm4_dewrap_join_full543_20260705
688528,秦川物联,1207950314,首次公开发行股票并在科创板上市招股说明书,2020-06-23,final_prospectus,https://static.cninfo.com.cn/finalpage/2020-06-23/1207950314.PDF,ok,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/raw_pdf/2020-06-23_688528_秦川物联_1207950314_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_batch002_20260628/text/2020-06-23_688528_秦川物联_1207950314_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688528_1207950314_business_technology.txt,93802.0,272209.0,791735,162263,147049,27,star_token_proxy_150_20260630,pdftotext_regex,,,,20.0,glm4_dewrap_join,4000.0,101442,20.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688528_1207950314_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,101442,11.527242485565022,2020.0,glm4_dewrap_join_full543_20260705
