sec_code,sec_name,source_custom_ids,source_chunk_start,source_chunk_end,source_chunk_n,Text_len,summary_len_raw_sum,Chunk_num,unit,process,threshold,summary_floor,candidate,Summary_len,floor_applied,n0,n1,n2,n3,n4,n5,Relevant_score,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,Redundancy_chunk
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0001,1,1,1,3976.0,146.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,146.0,0,10.0,22.0,18.0,12.0,5.0,1.0,1.75,144.0,57.0,36.21730382293763,14.336016096579478,27.232876712328768
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0002,2,2,1,3947.0,110.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,110.0,0,24.0,28.0,6.0,3.0,1.0,0.0,0.8548387096774194,74.0,35.0,18.748416518875096,8.86749429946795,35.88181818181818
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0003,3,3,1,3954.0,123.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,123.0,0,15.0,18.0,12.0,8.0,6.0,3.0,1.6935483870967742,159.0,55.0,40.21244309559939,13.9099645928174,32.146341463414636
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0004,4,4,1,3957.0,158.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,158.0,0,10.0,15.0,12.0,10.0,10.0,3.0,2.066666666666667,186.0,76.0,47.005307050796056,19.2064695476371,25.044303797468356
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0005,5,5,1,3911.0,115.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,115.0,0,0.0,15.0,10.0,12.0,10.0,2.0,2.4693877551020407,40.0,18.0,10.227563283047814,4.602403477371516,34.00869565217391
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0006,6,6,1,3992.0,122.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,122.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,6.0,5.01002004008016,1.503006012024048,32.721311475409834
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0007,7,7,1,3879.0,142.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,142.0,0,12.0,15.0,10.0,6.0,4.0,1.0,1.5416666666666667,89.0,53.0,22.94405774684197,13.663315287445217,27.316901408450704
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0008,8,8,1,3936.0,144.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,144.0,0,12.0,15.0,10.0,7.0,3.0,1.0,1.5208333333333333,19.0,17.0,4.8272357723577235,4.319105691056911,27.333333333333332
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0009,9,9,1,3558.0,202.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,202.0,0,12.0,20.0,15.0,8.0,5.0,2.0,1.6774193548387097,43.0,9.0,12.085441259134345,2.5295109612141653,17.613861386138613
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0010,10,10,1,3649.0,115.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,115.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,8.0,5.480953685941353,2.1923814743765417,31.730434782608697
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0011,11,11,1,3122.0,74.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,74.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,43.0,25.0,13.773222293401666,8.00768737988469,42.189189189189186
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0012,12,12,1,3105.0,121.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,121.0,0,0.0,0.0,0.0,0.0,68.0,0.0,4.0,10.0,7.0,3.2206119162640903,2.2544283413848634,25.66115702479339
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0013,13,13,1,3751.0,88.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,88.0,0,0.0,0.0,0.0,0.0,40.0,40.0,4.5,51.0,7.0,13.596374300186616,1.8661690215942415,42.625
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0014,14,14,1,3533.0,109.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,109.0,0,22.0,18.0,12.0,10.0,8.0,2.0,1.5833333333333333,57.0,26.0,16.13359750919898,7.359184828757431,32.41284403669725
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0015,15,15,1,3997.0,198.0,16,Summary_len_glm4,merge_tail,2000,0,glm4token_tailmerge2000_floor0,198.0,0,0.0,0.0,0.0,0.0,15.0,8.0,4.3478260869565215,329.0,124.0,82.31173380035025,31.02326745058794,20.18686868686869
