custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,summary_glm4_tokens,Summary_len_proxy,Summary_len_glm4,Redundancy_chunk_proxy,Redundancy_chunk_glm4,Redundancy_chunk_proxy_w99,Redundancy_chunk_glm4_w99,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target
688123_1207173489_glm4_dewrap_join_chunk_0001,688123,聚辰股份,1207173489,1,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7338,6867,3995,3995,19,3995,320,320,公司为集成电路设计企业，主营业务为集成电路产品的研发设计和销售，并提供应用解决方案和技术支持服务。公司拥有EEPROM、音圈马达驱动芯片和智能卡芯片三条主要产品线，产品广泛应用于智能手机、液晶面板、医疗仪器等领域。公司是全球领先的EEPROM芯片设计企业，2018年全球市场份额约8.17%，在智能手机摄像头EEPROM细分领域排名第一，占有全球约42.72%的市场份额。公司EEPROM产品具有高可靠性、宽电压、低功耗等特点，被评为2013-2019年上海名牌产品。公司音圈马达驱动芯片产品具有聚焦时间短、体积小、误差率低等优点。公司智能卡芯片产品曾通过中国信息安全测评中心EAL4+安全认证，获得国家密码管理局商用密码产品型号二级证书。,160,62,62,0,0,12,18,20,10,2,12,0.1935483870967742,6,-6,2.5483870967741935,,163,160,163,24.96875,24.50920245398773,24.96875,24.50920245398773,50,33,12.515644555694617,8.260325406758449
688123_1207173489_glm4_dewrap_join_chunk_0002,688123,聚辰股份,1207173489,2,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7108,6810,3988,3988,19,3988,217,217,公司EEPROM产品技术迭代周期约2-3年，已从0.35um/7.245um2升级至0.13um/1.01um2，并成功量产128Kbit容量产品。公司经营模式为Fabless模式，将晶圆制造、封装测试等环节委外。公司主要供应商为中芯国际、长电科技等，合作关系稳定。公司销售模式为“经销为主、直销为辅”，经销模式销售额占比稳定在86%左右。公司各类芯片产品为标准化通用型产品，在下游不同终端客户相近的应用领域之间使用不存在实质性障碍。,109,60,60,0,0,15,20,18,6,1,7,0.1166666666666666,5,-2,2.3,,129,109,129,36.58715596330275,30.914728682170544,36.58715596330275,30.914728682170544,193,137,48.39518555667001,34.3530591775326
688123_1207173489_glm4_dewrap_join_chunk_0003,688123,聚辰股份,1207173489,3,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7540,7267,3998,3998,19,3998,274,274,公司负责将产品运至经销商指定地点并承担运输费用，其余费用不承担。公司EEPROM、音圈马达驱动芯片主要下游客户为手机模组厂、液晶面板厂商等，与主要终端客户保持稳定合作关系。公司通过可靠质量、快速服务和持续关注客户需求维护客户稳定性。公司采用Fabless模式专注芯片研发设计，降低固定资产投资风险，提升生产灵活性。公司主营业务、主要产品和经营模式自设立以来未发生重大变化。公司芯片产品工艺流程包括芯片设计、晶圆制造、芯片封装和测试。公司采用Fabless经营模式，自身不从事芯片生产和加工，将晶圆制造、封装测试等环节通过委外方式进行，不产生污染物。,137,62,62,0,15,20,12,8,5,2,7,0.1129032258064516,6,-1,1.5806451612903225,,150,137,150,29.182481751824817,26.653333333333332,29.182481751824817,26.653333333333332,109,56,27.263631815907953,14.007003501750876
688123_1207173489_glm4_dewrap_join_chunk_0004,688123,聚辰股份,1207173489,4,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7340,6882,3997,3997,19,3997,216,216,"国内集成电路行业在政策与需求驱动下迅速扩张，2018年销售额达6,532亿元，同比增长20.7%。集成电路设计业作为产业链上游，2018年销售额达2,519.3亿元，占比提升至38.57%。存储芯片作为集成电路基础性产品，2018年全球市场规模达1,580亿美元，占集成电路市场40.17%，国内市场销售额达5,775亿元。EEPROM和Flash芯片占据非易失性存储芯片市场主要份额，分别适用于小规模参数存储和大容量数据存储需求。",108,54,54,0,15,18,10,7,3,1,4,0.074074074074074,5,1,1.4074074074074074,,120,108,120,37.00925925925926,33.30833333333333,37.00925925925926,33.30833333333333,59,28,14.761070803102328,7.005253940455342
688123_1207173489_glm4_dewrap_join_chunk_0005,688123,聚辰股份,1207173489,5,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6405,5869,3753,3753,19,3753,191,191,国内存储芯片市场快速增长，2018年销售额达714亿美元，同比增长5.61%。EEPROM市场规模2018年达7.14亿美元，预计2023年达9.05亿美元，智能手机摄像头和汽车电子是主要驱动力。2018年全球智能手机摄像头对EEPROM需求量达21.63亿颗，预计2023年达55.25亿颗。液晶面板领域2018年对EEPROM需求量约7.56亿颗，预计2023年达9.68亿颗。,96,54,54,0,10,28,8,4,3,1,4,0.074074074074074,4,0,1.351851851851852,,110,96,110,39.09375,34.11818181818182,39.09375,34.11818181818182,50,35,13.32267519317879,9.325872635225153
688123_1207173489_glm4_dewrap_join_chunk_0006,688123,聚辰股份,1207173489,6,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7131,6638,3977,3977,19,3977,269,269,公司是全球领先的EEPROM芯片设计企业，2018年全球市场份额约8.17%，在国内排名第一。公司专注于EEPROM领域，与中芯国际等供应商有长期战略合作，能灵活响应客户需求。公司EEPROM产品广泛应用于智能手机、液晶面板、通讯、汽车电子等众多领域，终端用户包括三星、华为、小米等知名企业。公司是智能手机摄像头EEPROM细分市场的全球领导者，2018年市场份额约42.72%，与舜宇、欧菲等模组厂商及主流手机厂商有长期合作。公司已取得中国专利44项、美国专利5项，并将全部25项核心技术应用于产品开发，实现了科技成果与产业的深度融合。,135,52,52,0,10,15,12,8,5,2,7,0.1346153846153846,6,-1,1.7884615384615383,,140,135,140,29.45925925925926,28.40714285714286,29.45925925925926,28.40714285714286,106,49,26.653256223283883,12.320844857933116
688123_1207173489_glm4_dewrap_join_chunk_0007,688123,聚辰股份,1207173489,7,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6592,6119,3888,3888,19,3888,292,295,公司2015年完成WLCSP EEPROM全系列产品布局，覆盖2Kbit-1024Kbit容量，在手机摄像头EEPROM领域全球市场份额排名第一。公司是全球最早提供128Kbit和256Kbit WLCSP EEPROM产品的供应商之一，并最早提供280um厚度解决方案。在音圈马达驱动芯片领域，公司开环产品已达到国际竞争对手水平，并通过创新算法建立技术优势，市场份额有较大提升空间。在智能卡芯片领域，公司非接触逻辑加密卡芯片达到国内领先水平，产品曾通过中国信息安全测评中心EAL4+安全认证，并获国家密码管理局商用密码产品型号二级证书。公司目前智能卡芯片市场份额较小，仍具有较大提升空间。,146,48,48,0,10,15,12,6,4,1,5,0.1041666666666666,5,0,1.625,,150,146,150,26.63013698630137,25.92,26.63013698630137,25.92,99,27,25.462962962962962,6.944444444444444
688123_1207173489_glm4_dewrap_join_chunk_0008,688123,聚辰股份,1207173489,8,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7046,6285,3968,3968,19,3968,297,300,发行人512Kbit EEPROM产品具备400万次擦写次数、100年数据保存时间的高可靠性，人体模式静电等级达8000V，领先国内外竞争对手；待机功耗和读写功耗均低于竞争对手，体现低功耗技术优势。发行人手机摄像头EEPROM产品覆盖64Kbit-256Kbit容量，是全球最早提供128Kbit和256Kbit WLCSP EEPROM的供应商之一，市场份额全球第一。发行人基于1.01um²存储单元开发新一代产品，提升性价比。2018年发行人全球EEPROM市场份额8.17%，排名第三；手机摄像头EEPROM市场份额42.72%，排名第一。主要竞争对手包括意法半导体、微芯科技、安森美半导体等。,149,58,58,0,10,15,12,10,8,3,11,0.1896551724137931,6,-5,2.0,,152,149,152,26.630872483221477,26.105263157894736,26.630872483221477,26.105263157894736,54,34,13.608870967741936,8.568548387096774
688123_1207173489_glm4_dewrap_join_chunk_0009,688123,聚辰股份,1207173489,9,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7518,7112,3999,3999,19,3999,243,245,公司专注于集成电路设计，拥有EEPROM、音圈马达驱动芯片和智能卡芯片等产品线。公司研发能力强，拥有境内发明专利28项、实用新型专利16项、美国专利5项及集成电路布图设计登记证书44项。公司EEPROM产品应用于三星等智能手机品牌，2018年全球市场份额约42.72%。公司已与舜宇、欧菲等模组厂商及友达、群创等面板厂商建立合作。公司通过ISO 9001及ISO/TS 16949认证，产品失效率远低于行业要求。公司研发人员占比42.38%，核心技术人员均来自国内外一流大学，具备丰富经验。,122,62,62,0,15,18,10,8,7,4,11,0.1774193548387097,6,-5,1.7741935483870968,,138,122,138,32.778688524590166,28.97826086956522,32.778688524590166,28.97826086956522,194,95,48.512128032008,23.755938984746187
688123_1207173489_glm4_dewrap_join_chunk_0010,688123,聚辰股份,1207173489,10,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6497,6099,3673,3673,19,3673,239,261,公司主要生产 EEPROM、智能卡芯片和音圈马达驱动芯片，报告期内 EEPROM 产量和销量大幅增长，2017 年至 2018 年产量增长率分别为 30.69% 和 66.19%。智能卡芯片 2018 年产销率达 115.95%，音圈马达驱动芯片 2019 年上半年产销率为 64.97%。EEPROM 产品收入占比最高，2019 年上半年达 88.42%。公司销售模式以经销为主，2019 年上半年经销收入占比 86.55%。前五大客户中，深圳市智嘉电子有限公司贡献收入最多，2019 年上半年占营业收入 19.17%。,120,54,54,0,12,18,10,8,4,2,6,0.1111111111111111,6,0,1.6296296296296295,,139,120,139,30.608333333333334,26.424460431654676,30.608333333333334,26.424460431654676,75,30,20.419275796351755,8.167710318540703
