sec_code,sec_name,text_len,summary_raw,source_custom_ids,source_chunk_count,n0,n1,n2,n3,n4,n5,processed_chunk_index,processed_chunk_n,sentence_count,high_score_count,relevant_score_merged,high_score_share_merged,candidate,low_relevance_rule,cap_applied,summary_diag,Redundancy_chunk_diag,Text_len,Summary_len,Chunk_num
688099,晶晨股份,3998.0,138.0,688099_1206491566_glm4_dewrap_join_chunk_0001,1,8.0,12.0,18.0,18.0,18.0,4.0,1,10,78.0,22.0,2.4871794871794872,0.28205128205128205,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,138.0,28.971014492753625,3998.0,138.0,10
688099,晶晨股份,3985.0,129.0,688099_1206491566_glm4_dewrap_join_chunk_0002,1,10.0,21.0,24.0,20.0,15.0,3.0,2,10,93.0,18.0,2.193548387096774,0.1935483870967742,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,129.0,30.891472868217054,3985.0,129.0,10
688099,晶晨股份,3916.0,112.0,688099_1206491566_glm4_dewrap_join_chunk_0003,1,9.0,42.0,11.0,6.0,5.0,2.0,3,10,75.0,7.0,1.4933333333333334,0.09333333333333334,tailmerge1700_score18_cap80,Relevant_score < 1.8,1,80.0,48.95,3916.0,80.0,10
688099,晶晨股份,3999.0,124.0,688099_1206491566_glm4_dewrap_join_chunk_0004,1,8.0,20.0,16.0,14.0,19.0,5.0,4,10,82.0,24.0,2.3780487804878048,0.2926829268292683,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,124.0,32.25,3999.0,124.0,10
688099,晶晨股份,3999.0,120.0,688099_1206491566_glm4_dewrap_join_chunk_0005,1,7.0,20.0,12.0,13.0,15.0,3.0,5,10,70.0,18.0,2.257142857142857,0.2571428571428571,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,120.0,33.325,3999.0,120.0,10
688099,晶晨股份,3977.0,134.0,688099_1206491566_glm4_dewrap_join_chunk_0006,1,8.0,16.0,22.0,33.0,7.0,1.0,6,10,87.0,8.0,2.206896551724138,0.09195402298850575,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,134.0,29.67910447761194,3977.0,134.0,10
688099,晶晨股份,3992.0,168.0,688099_1206491566_glm4_dewrap_join_chunk_0007,1,7.0,21.0,23.0,27.0,13.0,3.0,7,10,94.0,16.0,2.2872340425531914,0.1702127659574468,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,168.0,23.761904761904763,3992.0,168.0,10
688099,晶晨股份,3988.0,158.0,688099_1206491566_glm4_dewrap_join_chunk_0008,1,5.0,14.0,17.0,25.0,16.0,6.0,8,10,83.0,22.0,2.6144578313253013,0.26506024096385544,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,158.0,25.240506329113924,3988.0,158.0,10
688099,晶晨股份,3981.0,168.0,688099_1206491566_glm4_dewrap_join_chunk_0009,1,4.0,15.0,16.0,23.0,14.0,6.0,9,10,78.0,20.0,2.58974358974359,0.2564102564102564,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,168.0,23.696428571428573,3981.0,168.0,10
688099,晶晨股份,1995.0,150.0,688099_1206491566_glm4_dewrap_join_chunk_0010,1,3.0,11.0,17.0,25.0,11.0,3.0,10,10,70.0,14.0,2.557142857142857,0.2,tailmerge1700_score18_cap80,Relevant_score < 1.8,0,150.0,13.3,1995.0,150.0,10
