custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688123_1207173489_glm4_dewrap_join_chunk_0001,688123,聚辰股份,1207173489,1,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7338,6867,3995,3995,19,3995,271,280,公司为集成电路设计企业，主营集成电路产品研发设计和销售，并提供应用解决方案和技术支持，形成 EEPROM、音圈马达驱动芯片和智能卡芯片三条产品线。2018年公司为全球第三大 EEPROM 供应商，份额约8.17%，国内 EEPROM 企业第一；在智能手机摄像头 EEPROM 领域全球第一，份额约42.72%，产品进入三星、华为、vivo、OPPO、小米等终端。公司 EEPROM 覆盖2Kbit-1024Kbit容量，工艺和存储单元由0.35um/7.245um2升级至0.13um/1.01um2，芯片厚度由490um减薄至280um并开发200um方案。,136,82,82,0,7,13,20,25,14,3,17,0.2073170731707317,3,-14,2.426829268292683,
688123_1207173489_glm4_dewrap_join_chunk_0002,688123,聚辰股份,1207173489,2,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7108,6810,3988,3988,19,3988,341,347,发行人 EEPROM 技术迭代集中在工艺制程和存储单元，自设立以来由0.35um/7.245um2、0.18um/2.88um2、0.13um/1.64um2、0.13um/1.26um2升级至0.13um/1.01um2，同一工艺和存储单元完成系列容量开发通常需2-3年，2018年已实现该工艺下128Kbit量产。报告期主营收入以 EEPROM 为主，2016年至2019年1-6月收入占比分别为78.10%、84.40%、89.20%、88.42%。公司采用 Fabless 模式，委外晶圆制造、封装测试，主要晶圆供应商为中芯国际，封测供应商包括江阴长电、日月光半导体等；销售以经销为主，2016年至2019年1-6月经销占比分别为83.70%、86.75%、89.12%、86.55%。,171,78,78,0,6,15,22,22,11,2,13,0.16666666666666666,3,-10,2.2948717948717947,
688123_1207173489_glm4_dewrap_join_chunk_0003,688123,聚辰股份,1207173489,3,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7540,7267,3998,3998,19,3998,251,251,公司主要客户多为长期合作客户，EEPROM、音圈马达驱动芯片的主要下游终端客户为手机模组厂、液晶面板厂商等，且公司产品在主要经销商同类产品中占比较高，经销商变动导致主要终端客户流失的风险较小。公司销售定价综合参考同类产品市场价格、竞争情况、客户区域拓展、合作关系和成本，经销模式下会与终端客户协商销售指导价，再与经销商确定销售价格。境外销售采用经销为主、直销为辅，通常由上海总部发货至香港进出口再对外销售，主要境外客户位于中国香港、中国台湾、韩国，报告期境外销售未受当地进口政策或贸易摩擦重大不利影响。,126,67,67,0,5,18,24,15,5,0,5,0.07462686567164178,3,-2,1.955223880597015,
688123_1207173489_glm4_dewrap_join_chunk_0004,688123,聚辰股份,1207173489,4,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7340,6882,3997,3997,19,3997,175,175,"公司所属行业为“C39计算机、通信和其他电子设备制造业”，主营集成电路产品研发设计和销售，处于集成电路设计环节。行业披露显示，2018年中国集成电路行业销售额为6,532亿元，同比增长20.7%，2014年至2018年复合年均增长率21.3%；同期集成电路设计业销售额2,519.3亿元，同比增长21.5%，设计环节占行业销售额比例升至38.57%。",88,63,63,0,6,38,15,3,1,0,1,0.015873015873015872,2,1,1.2857142857142858,
688123_1207173489_glm4_dewrap_join_chunk_0005,688123,聚辰股份,1207173489,5,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6405,5869,3753,3753,19,3753,201,206,EEPROM 是发行人核心产品所处细分市场，凭借高可靠性、百万次擦写、低成本等特性应用于消费电子、计算机及周边、工业控制、通信等领域，并受智能手机摄像头和汽车电子需求推动。赛迪顾问统计，2018年全球 EEPROM 市场规模7.14亿美元，同比增长5.61%，预计2023年达9.05亿美元；智能手机摄像头 EEPROM 需求由2016年9.08亿颗增至2018年21.63亿颗，预计2023年达55.25亿颗。,101,42,42,0,4,28,8,1,1,0,1,0.023809523809523808,2,1,1.2142857142857142,
688123_1207173489_glm4_dewrap_join_chunk_0006,688123,聚辰股份,1207173489,6,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7131,6638,3977,3977,19,3977,237,238,发行人掌握与主营业务相关的多项核心技术，已取得中国专利44项、美国专利5项，正在申请发明专利20项、集成电路布图设计登记证书44项，并将25项核心技术应用于现有产品及募投项目产品。公司工业级EEPROM已达到国际竞争对手水平，终端用户包括三星、华为、小米、OPPO、京东方、海尔等，并通过英特尔授权AVL Labs认证。2018年公司为全球第三大EEPROM供应商，份额8.17%，在国内企业中第一；智能手机摄像头EEPROM全球第一，份额42.72%，年供货能力近10亿颗。,119,64,64,0,10,31,4,6,9,4,13,0.203125,3,-10,1.765625,
688123_1207173489_glm4_dewrap_join_chunk_0007,688123,聚辰股份,1207173489,7,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6592,6119,3888,3888,19,3888,282,283,公司2015年完成全系列WLCSP EEPROM布局，覆盖2Kbit-1024Kbit，并较早提供128Kbit、量产256Kbit产品，应用于华为Mate/P系列及三星旗舰机型摄像头模组，2017年开发200um典型厚度超薄方案。音圈马达驱动芯片方面，2018年收入占全球市场约0.63%，开环产品在工作电压、最快稳定时间、最大容忍马达频率变化范围等指标达到国际竞争对手水平，并具备驱动芯片与EEPROM二合一技术。智能卡芯片方面，公司非接触逻辑加密卡在最小工作场强、0.13um工艺和嵌入式EEPROM性能等指标达国内领先，智能卡芯片收入占国内市场约0.40%。,141,78,78,0,7,23,8,12,19,9,28,0.358974358974359,3,-25,2.5128205128205128,
688123_1207173489_glm4_dewrap_join_chunk_0008,688123,聚辰股份,1207173489,8,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7046,6285,3968,3968,19,3968,291,295,发行人512Kbit大容量EEPROM工作电压1.7V-5.5V、温度-40℃-85℃，耐擦写400万次、数据保存100年、HBM ESD达8000V，可靠性已达国际竞争对手水平，静电防护和低功耗指标领先。手机摄像头EEPROM方面，公司2015年完成2Kbit-1024Kbit WLCSP全系列布局，较早提供128Kbit并量产256Kbit产品，应用于华为Mate/P系列及三星旗舰机型。其64Kbit、128Kbit、256Kbit WLCSP产品HBM ESD均为8000V，待机及读写功耗低于公开披露的同容量竞争产品；2018年基于1.01um2存储单元实现128Kbit量产。,146,72,72,0,12,20,9,8,16,7,23,0.3194444444444444,3,-20,2.236111111111111,
688123_1207173489_glm4_dewrap_join_chunk_0009,688123,聚辰股份,1207173489,9,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7518,7112,3999,3999,19,3999,310,310,"2018年发行人音圈马达驱动芯片收入593.50万元，按全球1.43亿美元市场规模测算份额约0.63%；智能卡芯片收入3,861.35万元，按中国95.91亿元市场规模测算份额约0.40%。公司截至2019年6月30日拥有境内发明专利28项、实用新型16项、美国专利5项、布图设计44项，正在申请境内发明专利20项。EEPROM方面，公司通过电荷泵、ECC和1.01um2存储单元设计技术提升低电压适配、可靠性和性价比，耐擦写次数由100万次提升至400万次以上，数据保持100年以上。公司2018年为全球第一的智能手机摄像头EEPROM供应商，份额42.72%，并与舜宇、欧菲、丘钛、信利、立景、富士康等形成稳定合作。",155,86,86,0,5,16,18,17,22,8,30,0.3488372093023256,4,-26,2.686046511627907,
688123_1207173489_glm4_dewrap_join_chunk_0010,688123,聚辰股份,1207173489,10,19,results/glm4_dewrap_join_pilot5_20260705/chunks/688123_1207173489_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6497,6099,3673,3673,19,3673,335,335,"报告期内公司主要产品为EEPROM、智能卡芯片和音圈马达驱动芯片，2018年合计产量165,797.00万颗、销量156,992.32万颗，2019年1-6月合计产量99,995.71万颗、销量99,648.61万颗。EEPROM销量从2016年64,086.41万颗增至2018年126,148.02万颗，2017年和2018年增长率分别为26.53%、55.56%。主营收入以EEPROM为主，2016年至2019年1-6月收入占比分别为78.10%、84.40%、89.20%、88.42%。公司销售以经销为主，2018年经销收入38,515.65万元、占89.12%；2019年1-6月前五大客户中深圳市智嘉电子销售4,593.04万元、占营业收入19.17%。",168,78,78,0,4,31,9,10,18,6,24,0.3076923076923077,4,-20,2.3205128205128207,
