custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,source_dir
688281_1212482414_glm4_dewrap_join_chunk_0001,688281,华秦科技,1212482414,1,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6936,6673,3974,3974,13,3974,215,215,公司主营特种功能材料，涵盖隐身、伪装及防护材料，应用于飞机、主战坦克、舰船、导弹等重大国防装备及地面军事目标。隐身材料和伪装材料核心产品分别于2019年、2020年实现批产，结构隐身材料已小批量生产并在多个型号装备中应用验证。公司拥有陕西省隐身材料技术工程研究中心、院士专家工作站、博士后科研工作站等平台。报告期内特种功能材料产品收入占营业收入比例为82.94%、91.11%、86.75%、96.98%，主营业务未发生重大变化。,108,86,86,0,7,18,20,27,12,2,14,0.1627906976744186,4,-10,2.2906976744186047,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0002,688281,华秦科技,1212482414,2,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6989,6636,3993,3993,13,3993,282,282,公司采取自主研发为主的研发模式，研发包括型号跟研和自选研发，已参与国内各大军工集团及其下属单位多个型号跟研，并承担多项国家和省部级科研课题。公司获批院士专家工作站、博士后科研工作站、陕西省博士后创新基地、陕西省隐身材料技术工程研究中心等平台。公司自1996年起联合西北工业大学开展特种功能材料预研，2016年5月取得西工大转让的22项专利权及10项专利申请权。隐身材料及伪装材料核心型号分别于2019年、2020年批产；截至招股说明书签署日，公司获授权40项发明专利，其中8项国防发明专利、2项国家发明专利为自主研发取得，44项在申请国防发明专利均为自主研发申报。,141,92,92,0,8,14,22,29,15,4,19,0.2065217391304347,5,-14,2.4456521739130435,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0003,688281,华秦科技,1212482414,3,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6893,6464,3988,3988,13,3988,232,232,西北工业大学确认，公司及实际控制人自1996年起支持并参与材料学院特种功能材料研究，西工大于2016年5月将相关22项专利权和10项专利申请权转让给公司，双方不存在共有知识产权或知识产权争议。公司工艺披露因产品用于重大型号武器装备而从简，主要包括隐身涂层、结构隐身、高仿真伪装遮障和重防腐材料流程。公司不属于重点排污单位或重污染行业，取得固定污染源排污登记回执，污染物产生量、排放量较小。环保检测列示废水、废气、粉尘、噪声等均达标，报告期未因违反环保法规受到处罚。,116,78,78,0,10,23,20,16,8,1,9,0.1153846153846153,4,-5,1.8974358974358976,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0004,688281,华秦科技,1212482414,4,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6924,6615,3979,3979,13,3979,193,193,公司特种功能材料产品可实现雷达、红外、可见光、多频谱等隐身或伪装功能，涉及功能陶瓷材料、陶瓷基或树脂基复合材料、高分子隐身材料等，属于战略性新兴产业中新材料产业相关细分领域。公司是研发驱动的军工配套企业，产品用于飞机、主战坦克、舰船、导弹等重大国防装备隐身、地面军事目标伪装及装备部件表面防护。报告期主营收入主要来自隐身材料、伪装材料及相关技术服务，军方及客户将公司产品直接按军品管理。,97,65,65,0,5,37,11,9,3,0,3,0.0461538461538461,3,0,1.5076923076923077,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0005,688281,华秦科技,1212482414,5,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6574,6397,3991,3991,13,3991,177,177,本段主要披露隐身材料技术背景和行业特征：多频谱隐身材料包括雷达/红外、可见光/红外兼容隐身，研发难点在于不同隐身功能对材料特性要求矛盾且加工验证受限。隐身材料行业进入壁垒较高，受军工资质、技术工艺、研发投入、人才储备、质量控制和检测体系影响，新进入者形成竞争力周期较长。隐身材料客户选定供应商后通常较稳定，产品研发周期长，并具有型号同步研发和定制化特征。,89,72,72,0,4,51,12,4,1,0,1,0.0138888888888888,3,2,1.2638888888888888,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0006,688281,华秦科技,1212482414,6,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7088,6865,3969,3969,13,3969,220,220,公司在隐身、伪装及防护材料方向形成自主可控知识产权，隐身材料和伪装材料核心产品分别于2019年、2020年批产。截至签署日，公司隐身/伪装材料拥有38项授权国防发明专利、33项在申请国防发明专利，3个耐温隐身材料和2个伪装材料牌号已定型批产。公司2016年项目鉴定显示隐身材料综合技术水平达到国际先进、部分达到国际领先，并获国防技术发明一等奖、国家技术发明二等奖；报告期研发费用占收入11.73%、15.11%、10.32%、14.16%。,110,94,94,0,5,44,12,13,16,4,20,0.2127659574468085,3,-17,2.0319148936170213,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0007,688281,华秦科技,1212482414,7,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6937,6676,3824,3824,13,3824,196,196,公司具备军工科研生产资质，是国内极少数全面覆盖常温、中温和高温隐身材料设计、研发和生产的企业，产品在多军种、多型号装备装机应用。报告期批产定型产品收入占主营业务收入0.00%、36.90%、88.47%、93.18%，主要客户A1单位对公司质量、交付及服务评价均在99.5分以上。公司民品开拓和规模存在短板，但中高温隐身材料领域尚不存在技术水平、应用领域及产业化进程与公司相当的国内竞争对手。,98,78,78,0,2,26,21,15,11,3,14,0.1794871794871795,3,-11,2.2051282051282053,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0008,688281,华秦科技,1212482414,8,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6137,5436,3906,3906,13,3906,311,311,"报告期内，公司经营规模低于军工材料上市公司均值，但净利率45.11%、37.41%、-90.42%、21.55%，扣除2019年股份支付影响后扣非净利率为28.62%，盈利能力相对较强。2020年末公司研发人员38人、占比19.69%，研发投入占收入比例为14.16%、10.32%、15.11%、11.73%，均保持10%以上。主营业务收入主要来自隐身材料，2021年1-6月隐身材料收入18,165.14万元、占95.10%；军品收入占比99.83%。报告期前五大客户收入占比100.00%、100.00%、99.25%、99.90%，A集团占比99.42%、98.71%、87.94%、95.00%，客户集中度较高。",156,72,72,0,3,8,17,14,22,8,30,0.4166666666666667,4,-26,2.9444444444444446,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0009,688281,华秦科技,1212482414,9,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6274,5627,3977,3977,13,3977,295,295,"报告期公司主要采购靶材、粉体、金属结构件、树脂、纤维等原材料，其中靶材采购占主营业务相关采购额94.10%、86.08%、87.69%、81.25%，为主要原材料且价格较为平稳。前五大供应商采购占比99.16%、95.98%、96.63%、93.98%，北京普瑞新材采购占比94.17%、71.28%、66.70%、59.07%，采购集中度较高。公司批产产品不存在工序外委，主营业务相关外协加工费分别为6.23万元、32.30万元、62.62万元、55.70万元。2021年6月末固定资产账面价值10,044.49万元，定制非标设备账面原值2,250.42万元，占机器设备原值71.82%。",148,69,69,0,3,6,17,17,21,5,26,0.3768115942028985,4,-22,2.898550724637681,,glm4_dewrap_join_full543_20260705
688281_1212482414_glm4_dewrap_join_chunk_0010,688281,华秦科技,1212482414,10,13,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688281_1212482414_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6832,6452,3947,3947,13,3947,245,245,公司拥有2宗出让土地使用权、48项注册商标、38项国防发明专利和2项国家发明专利，并已取得军品生产销售所需全部资质。公司已授权38项国防发明专利中30项受让自西北工业大学，相关22项专利权及10项专利申请权于2016年以150万元转让，西工大确认不存在权属及价款争议。公司核心技术覆盖隐身、伪装和防护材料，其中耐温隐身涂层配方结构、高温抗氧化粘结层、工程制备技术已批产。公司高仿真伪装遮障可实现可见光、红外和雷达特性全天候、全时段、全方位与背景融合，解决传统伪装材料难以对抗多维侦查的问题。,123,83,83,0,4,13,20,17,23,6,29,0.3493975903614458,4,-25,2.7228915662650603,,glm4_dewrap_join_full543_20260705
