custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688099_1206491566_glm4_dewrap_join_chunk_0001,688099,晶晨股份,1206491566,1,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6993,6444,3998,3998,10,3998,276,276,"公司主营多媒体智能终端SoC芯片研发、设计与销售，产品用于智能机顶盒、智能电视和AI音视频系统终端，业务覆盖中国大陆、香港、美国、欧洲等区域。公司采用12纳米工艺，形成超高清视频SoC核心芯片、全格式音视频处理及编解码芯片等产品，客户包括小米、阿里巴巴、百度、海尔、TCL、创维、中兴通讯、Google、Amazon及多国电信运营商。2018年收入236,906.94万元，其中智能机顶盒、智能电视、AI音视频系统终端芯片收入分别为131,763.39万元、78,483.28万元、26,561.02万元，占比55.62%、33.13%、11.21%。",138,78,78,0,8,12,18,18,18,4,22,0.28205128205128205,3,-19,2.4871794871794872,
688099_1206491566_glm4_dewrap_join_chunk_0002,688099,晶晨股份,1206491566,2,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7028,6675,3985,3985,10,3985,258,258,公司采用Fabless模式，将晶圆制造、封装和测试委托外部完成，晶圆代工厂商主要为台积电，封装测试服务供应商主要为长电科技、天水华天。最近三年，公司向台积电采购金额占总采购额79.18%、76.26%、68.83%，向长电科技采购占比17.97%、21.82%、21.91%，并通过框架协议、供应商准入、质量考评和保密协议维护合作。公司销售采用经销为主、直销为辅模式，主要由晶晨香港负责销售，产品演进中2018年推出12纳米4K超高清OTT/IPTV机顶盒SoC、支持8K解码的智能电视SoC及视觉识别人工智能芯片。,129,93,93,0,10,21,24,20,15,3,18,0.1935483870967742,3,-15,2.193548387096774,
688099_1206491566_glm4_dewrap_join_chunk_0003,688099,晶晨股份,1206491566,3,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7249,6621,3916,3916,10,3916,223,223,"公司产品主要应用于智能机顶盒、智能电视和AI音视频系统终端，其中AI音视频系统终端收入主要来自智能音箱。公司所处下游市场中，2018年全球智能音箱出货量达8,200万台，同比增长152.31%，2019年一季度同比增长181.52%。在市场地位方面，2018年公司在OTT机顶盒芯片零售市场份额位列国内第一，在我国IPTV/OTT机顶盒芯片方案市场以32.6%份额位列第二；智能电视SoC芯片2018年出货量超过2,000万颗，位居国内市场前列。",112,75,75,0,9,42,11,6,5,2,7,0.09333333333333334,3,-4,1.4933333333333334,
688099_1206491566_glm4_dewrap_join_chunk_0004,688099,晶晨股份,1206491566,4,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7049,6583,3999,3999,10,3999,248,252,公司三类产品均已采用12nm工艺并支持4K、8K解码能力，智能电视芯片方案T972和T962X3已完成流片，相关终端包括阿里巴巴天猫精灵魔盒、Google Home Hub等。公司在中国、美国设立研发中心，持续加大核心IP研发并提升芯片性能、功耗和面积指标。公司自主研发全格式视频解码、全格式音频解码、全球数字电视解调、超高清电视图像处理、高速外围接口、芯片级安全、超低功耗、内存带宽压缩等核心技术；截至2018年末，技术研发人员占比81.13%，视频处理最高支持4K 60帧HDR 10比特全4K特性。,124,82,82,0,8,20,16,14,19,5,24,0.2926829268292683,3,-21,2.3780487804878048,
688099_1206491566_glm4_dewrap_join_chunk_0005,688099,晶晨股份,1206491566,5,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7244,6605,3999,3999,10,3999,240,240,"截至2018年12月31日，公司研发人员619人，占总人数81.13%，主要研发人员由内部培养，研发团队相对稳定。报告期内，公司主要产品产销增长明显：2018年智能机顶盒、智能电视、AI音视频系统终端芯片产量分别为5,929.67万颗、2,397.30万颗、1,424.49万颗，销量分别为5,294.12万颗、2,199.14万颗、1,235.65万颗。2018年前五名客户销售额合计150,078.79万元，占营业收入63.35%，其中路必康公司、小米、中兴康讯等为重要客户。",120,70,70,0,7,20,12,13,15,3,18,0.2571428571428571,3,-15,2.257142857142857,
688099_1206491566_glm4_dewrap_join_chunk_0006,688099,晶晨股份,1206491566,6,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7291,6722,3977,3977,10,3977,268,268,报告期内，公司客户结构随经销与直销切换明显变化：2018年前五大经销客户合计销售134098.96万元、占56.60%，前五大直销客户合计65922.79万元、占27.83%，小米成为第一大直销客户。2016年经销模式占主营业务收入77.26%，路必康自2017年服务终端客户小米后采购增加并连续成为主要经销商；中兴通讯2017年加大采购，2018年受制裁影响下降。2018年境内销售8644.21万元、占3.65%，境外前五大客户合计142723.16万元、占60.24%；公司与主要客户通过框架协议和订单确定型号、数量、价格及交付。,134,87,87,0,8,16,22,33,7,1,8,0.09195402298850575,3,-5,2.206896551724138,
688099_1206491566_glm4_dewrap_join_chunk_0007,688099,晶晨股份,1206491566,7,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6865,6355,3992,3992,10,3992,335,335,公司与小米、中兴通讯等直销客户及主要经销商保持合作，并披露对创维销售价格与其他客户基本一致：2018年至2016年对创维销售收入分别为5256.83万元、9062.88万元、10655.48万元。公司原材料主要为晶圆和封装测试服务，2018年晶圆采购120280.45万元、封装测试45026.39万元；主营业务收入236807.68万元，同比增长40.22%。主要供应商高度集中，2018年向台积电采购127143.32万元、占68.83%，向长电科技采购40468.15万元、占21.91%，前五名供应商合计占99.42%。文晔科技同时为客户和供应商，系公司通过其采购DDR存储芯片晶圆；2018年公司向路必康和小米销售加载DDR的T962系列芯片286.75万颗。,168,94,94,0,7,21,23,27,13,3,16,0.1702127659574468,4,-12,2.2872340425531914,
688099_1206491566_glm4_dewrap_join_chunk_0008,688099,晶晨股份,1206491566,8,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6976,6356,3988,3988,10,3988,316,318,截至招股说明书签署日，公司累计取得49项专利，其中境内16项、境外33项，正在申请且已获受理通知书的专利290余项，并拥有40项集成电路布图设计专有权、8项软件著作权。公司主要从事多媒体智能终端SoC芯片研发、设计与销售，在智能机顶盒和智能电视芯片领域居于国内领先地位，在AI音视频系统终端芯片领域具有技术优势。公司形成全格式视频解码处理、全格式音频解码处理、全球数字电视解调、超高清电视图像处理、内存带宽压缩等11项自主研发核心技术。其视频技术支持4K 60帧HDR 10比特及最高8K解码，音频技术支持主流格式及Dolby、DTS、DRA等处理；产品被小米、阿里巴巴、百度、TCL、创维、中兴通讯、Google、Amazon等采用。,158,83,83,0,5,14,17,25,16,6,22,0.26506024096385544,4,-18,2.6144578313253013,
688099_1206491566_glm4_dewrap_join_chunk_0009,688099,晶晨股份,1206491566,9,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6642,5831,3981,3981,10,3981,336,336,公司T962智能电视芯片与联发科同等级别芯片同为28nm制程，均支持4K解码；2018年公司导入12nm制程并研发出支持8K解码和低功耗远场语音识别的T972智能电视SoC芯片。公司音视频编解码技术经20余年积累，2018年导入12nm制程，研制出支持8K解码的智能电视SoC芯片。报告期内，公司核心技术产品和服务收入分别为114086.37万元、168888.59万元、236807.69万元，占营业收入99.24%、99.91%、99.96%。公司拥有集成电路设计企业、高新技术企业、ISO9001等资质，2016年至2018年获得多项半导体创新产品和技术奖；研发投入分别为21077.68万元、26707.96万元、37629.31万元，占营业收入平均16.67%。,168,78,78,0,4,15,16,23,14,6,20,0.2564102564102564,4,-16,2.58974358974359,
688099_1206491566_glm4_dewrap_join_chunk_0010,688099,晶晨股份,1206491566,10,10,results/glm4_dewrap_join_pilot100_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,3729,3581,1995,1995,10,1995,299,300,报告期内，公司智能电视芯片和AI音视频系统终端芯片研发人员人均创收增长较快，2018年AI音视频系统终端芯片产品线人均创收同比增长470.50%。公司核心技术人员为Michael Yip、潘照荣、钟富尧、石铭，均为研发部门主要成员，并通过保密协议、竞业禁止协议、专利奖励和项目奖励维持稳定。公司截至招股说明书签署日拥有11项核心技术、49项专利和40项集成电路布图设计，正在申请且已受理专利290余项。报告期内，公司境外销售收入占营业收入比例为100.00%、100.00%和96.35%，商品销售主要由晶晨香港完成；2018年境内销售收入8648.69万元，主要来自小米及阿里巴巴境内主体采购调整。,150,70,70,0,3,11,17,25,11,3,14,0.2,4,-10,2.557142857142857,
